edition,year,venue,round,team 1,team 2,score,score_halftime
1998-FRANCE,1997,Freetown.,PRELIMINARY-Africa,Sierra Leone,Morocco (المغرب),0-1,0-1
1998-FRANCE,1997,Singapore.,PRELIMINARY-Asia,Singapore (新加坡),Kuwait (الكويت),0-1,0-1
1998-FRANCE,1997,Sharjah.,PRELIMINARY-Asia,United Arab Emirates (الإمارات العربية المتحدة),Jordan (الأردن),2-0,1-0
1998-FRANCE,1997,Sharjah.,PRELIMINARY-Asia,United Arab Emirates (الإمارات العربية المتحدة),Bahrain (البحرين),3-0,1-0
1998-FRANCE,1996,Bratislava.,PRELIMINARY-Europe,Slovakia (Slovensko),Faroe Islands (Føroyar),3-0,2-0
1998-FRANCE,1996,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Jamaica,2-1,1-0
1998-FRANCE,1996,Kingstown.,PRELIMINARY-N/C.America,Saint Vincent & The Grenadines,Honduras,1-4,0-3
1998-FRANCE,1996,Edmonton.,PRELIMINARY-N/C.America,Cuba,Canada,0-2,0-1
1998-FRANCE,1996,Edmonton.,PRELIMINARY-N/C.America,Canada,Cuba,2-0,1-0
1998-FRANCE,1996,Asunción.,PRELIMINARY-S.America,Paraguay,Chile,2-1,1-1
1998-FRANCE,1996,Quito.,PRELIMINARY-S.America,Ecuador,Colombia,0-1,0-0
1998-FRANCE,1996,San_Cristóbal.,PRELIMINARY-S.America,Venezuela,Argentina,2-5,1-1
1998-FRANCE,1996,Erevan.,PRELIMINARY-Europe,Armenia (Հայաստան),Germany (Deutschland),1-5,0-3
1998-FRANCE,1997,Windhoek.,PRELIMINARY-Africa,Namibia,Egypt (مصر),2-3,0-0
1998-FRANCE,1997,Budapest.,PRELIMINARY-Europe,Hungary (Magyarország),Norway (Norge),1-1,1-1
1998-FRANCE,1997,Buenos Aires.,PRELIMINARY-S.America,Argentina,Venezuela,2-0,1-0
1998-FRANCE,1997,København.,PRELIMINARY-Europe,Denmark (Danmark),Bosnia-Herzegovina (Bosna i Hercegovina),2-0,0-0
1998-FRANCE,1996,Belfast.,PRELIMINARY-Europe,Northern Ireland (Ulster),Ukraine (Україна),0-1,0-0
1998-FRANCE,1996,Erevan.,PRELIMINARY-Europe,Armenia (Հայաստան),Portugal,0-0,0-0
1998-FRANCE,1996,Kalamáta.,PRELIMINARY-Europe,Greece (Ελλάδα),Bosnia-Herzegovina (Bosna i Hercegovina),3-0,1-0
1998-FRANCE,1996,Ljubljana.,PRELIMINARY-Europe,Slovenia (Slovenija),Denmark (Danmark),0-2,0-0
1998-FRANCE,1997,Helsinki.,PRELIMINARY-Europe,Finland (Suomi),Azerbaijan (Azərbaycan),3-0,0-0
1998-FRANCE,1996,Chişinău.,PRELIMINARY-Europe,Moldova,England,0-3,0-2
1998-FRANCE,1996,Budapest.,PRELIMINARY-Europe,Hungary (Magyarország),Finland (Suomi),1-0,1-0
1998-FRANCE,1996,Rīga.,PRELIMINARY-Europe,Latvia (Latvija),Sweden (Sverige),1-2,0-2
1998-FRANCE,1996,Santo Domingo.,PRELIMINARY-N/C.America,Dominican Republic (República Dominicana),Aruba,3-2,1-0
1998-FRANCE,1996,Georgetown.,PRELIMINARY-N/C.America,Guyana,Grenada,1-2,1-0
1998-FRANCE,1996,Eschen.,PRELIMINARY-Europe,Liechtenstein,Ireland (Éire),0-5,0-4
1998-FRANCE,1996,St._Johns.,PRELIMINARY-N/C.America,Antigua and Barbuda,Dominica,1-3,0-1
1998-FRANCE,1996,St._Georges.,PRELIMINARY-N/C.America,Grenada,Guayana,6-0,2-0
1998-FRANCE,1996,Kingston.,PRELIMINARY-N/C.America,Jamaica,Surinam (Suriname),1-0,0-0
1998-FRANCE,1996,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Faroe Islands (Føroyar),3-1,3-0
1998-FRANCE,1996,Skopje.,PRELIMINARY-Europe,Macedonia (Македонија),Liechtenstein,3-0,1-0
1998-FRANCE,1996,Buenos Aires.,PRELIMINARY-S.America,Argentina,Bolivia,3-1,2-1
1998-FRANCE,1996,Caracas.,PRELIMINARY-S.America,Venezuela,Uruguay,0-2,0-0
1998-FRANCE,1996,Barranquilla.,PRELIMINARY-S.America,Colombia,Paraguay,1-0,0-0
1998-FRANCE,1996,Guayaquil.,PRELIMINARY-S.America,Ecuador,Peru (Perú),4-1,0-0
1998-FRANCE,1996,Santo Domingo.,PRELIMINARY-N/C.America,Dominican Republic (República Dominicana),Dutch Antilles (Nederlandse Antillen),2-1,1-1
1998-FRANCE,1996,Bayamón.,PRELIMINARY-N/C.America,Puerto Rico,Saint Vincent & The Grenadines,1-2,0-1
1998-FRANCE,1996,Paramaribo.,PRELIMINARY-N/C.America,Surinam (Suriname),Jamaica,0-1,0-0
1998-FRANCE,1996,Basseterre.,PRELIMINARY-N/C.America,Saint Kitts & Nevis,Saint Lucia,5-1,4-0
1998-FRANCE,1996,Bucureşti.,PRELIMINARY-Europe,Romania (România),Lithuania (Lietuva),3-0,1-0
1998-FRANCE,1996,Cardiff.,PRELIMINARY-Europe,Wales (Cymru),San Marino,6-0,4-0
1998-FRANCE,1997,Split.,PRELIMINARY-Europe,Croatia (Hrvatska),Denmark (Danmark),1-1,0-0
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Oman (عمان),Macao (澳门),4-0,2-0
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Nepal (नेपाल),Japan (日本),0-6,0-1
1998-FRANCE,1997,Jeddah.,PRELIMINARY-Asia,Saudi Arabia (العربية السعودية),Bangladesh (বাংলাদেশ),3-0,2-0
1998-FRANCE,1997,Jeddah.,PRELIMINARY-Asia,Taiwan (台湾),Malaysia (مليسيا),0-0,0-0
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Oman (عمان),Nepal (नेपाल),1-0,0-0
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Macao (澳门),Japan (日本),0-10,0-3
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Oman (عمان),Japan (日本),0-1,0-1
1998-FRANCE,1997,Muscat.,PRELIMINARY-Asia,Nepal (नेपाल),Macao (澳门),1-1,1-1
1998-FRANCE,1997,San_José.,PRELIMINARY-N/C.America,Costa Rica,USA,3-2,2-1
1998-FRANCE,1996,Bruxelles.,PRELIMINARY-Europe,Belgium (België),Turkey (Türkiye),2-1,2-0
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Malaysia (مليسيا),Taiwan (台湾),2-0,2-0
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Malaysia (مليسيا),Saudi Arabia (العربية السعودية),0-0,0-0
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Bangladesh (বাংলাদেশ),Taiwan (台湾),1-3,0-0
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Malaysia (مليسيا),Bangladesh (বাংলাদেশ),2-0,1-0
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Taiwan (台湾),Saudi Arabia (العربية السعودية),0-2,0-2
1998-FRANCE,1997,San_José.,PRELIMINARY-N/C.America,Costa Rica,Mexico (México),0-0,0-0
1998-FRANCE,1996,Edmonton.,PRELIMINARY-N/C.America,Canada,Panama (Panamá),3-1,2-0
1998-FRANCE,1996,Baku.,PRELIMINARY-Europe,Azerbaijan (Azərbaycan),Switzerland (Schweiz / Suisse),1-0,1-0
1998-FRANCE,1996,Minsk.,PRELIMINARY-Europe,Belarus (Беларусь),Estonia (Eesti),1-0,1-0
1998-FRANCE,1996,Wien.,PRELIMINARY-Europe,Austria (Österreich),Scotland,0-0,0-0
1998-FRANCE,1996,Toftír.,PRELIMINARY-Europe,Faroe Islands (Føroyar),Slovakia (Slovensko),1-2,0-1
1998-FRANCE,1997,Kuala Lumpur.,PRELIMINARY-Asia,Bangladesh (বাংলাদেশ),Saudi Arabia (العربية السعودية),1-4,1-2
1998-FRANCE,1996,Diriamba.,PRELIMINARY-N/C.America,Nicaragua,Guatemala,0-1,0-1
1998-FRANCE,1996,Oranjestad.,PRELIMINARY-N/C.America,Aruba,Dominican Republic (República Dominicana),1-3,1-1
1998-FRANCE,1996,Willemstad.,PRELIMINARY-N/C.America,Dutch Antilles (Nederlandse Antillen),Dominican Republic (República Dominicana),0-0,0-0
1998-FRANCE,1997,Riyadh.,PRELIMINARY-Asia,Saudi Arabia (العربية السعودية),China (中国),1-1,1-1
1998-FRANCE,1997,Doha.,PRELIMINARY-Asia,Qatar (قطر),Iran (ایران),2-0,1-0
1998-FRANCE,1997,Tokyo.,PRELIMINARY-Asia,Japan (日本),Kazakhstan (Қазақстан),5-1,3-0
1998-FRANCE,1997,Vancouver.,PRELIMINARY-N/C.America,Canada,USA,0-3,0-1
1998-FRANCE,1997,San_Salvador.,PRELIMINARY-N/C.America,El Salvador,Jamaica,2-2,0-0
1998-FRANCE,1997,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Costa Rica,3-3,2-0
1998-FRANCE,1997,Abu_Dhabi.,PRELIMINARY-Asia,United Arab Emirates (الإمارات العربية المتحدة),South Korea (한국),1-3,0-2
1998-FRANCE,1997,Dalian.,PRELIMINARY-Asia,China (中国),Kuwait (الكويت),1-0,1-0
1998-FRANCE,1997,Doha.,PRELIMINARY-Asia,Qatar (قطر),Saudi Arabia (العربية السعودية),0-1,0-0
1998-FRANCE,1997,Kyïv.,PRELIMINARY-Europe,Ukraine (Україна),Croatia (Hrvatska),1-1,1-1
1998-FRANCE,1996,Guatemala.,PRELIMINARY-N/C.America,Guatemala,Nicaragua,2-1,0-0
1998-FRANCE,1997,Bruxelles.,PRELIMINARY-Europe,Belgium (België),Ireland (Éire),2-1,1-0
1998-FRANCE,1997,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Hungary (Magyarország),5-0,3-0
1998-FRANCE,1997,Batumi.,PRELIMINARY-Europe,Georgia (საქართველო),Moldova,2-0,1-0
1998-FRANCE,1997,Bruxelles.,PRELIMINARY-Europe,Belgium (België),San Marino,6-0,5-0
1998-FRANCE,1997,Napoli.,PRELIMINARY-Europe,Italy (Italia),Russia (Россия),1-0,0-0
1998-FRANCE,1996,Kingstown.,PRELIMINARY-N/C.America,Saint Vincent & The Grenadines,Puerto Rico,7-0,5-0
1998-FRANCE,1997,Skopje.,PRELIMINARY-Europe,Macedonia (Македонија),Iceland (Ísland),1-0,0-0
1998-FRANCE,1997,Porto.,PRELIMINARY-Europe,Portugal,Albania (Shqipëri),2-0,1-0
1998-FRANCE,1997,Kyïv.,PRELIMINARY-Europe,Ukraine (Україна),Germany (Deutschland),0-0,0-0
1998-FRANCE,1997,Ba.,PRELIMINARY-Oceania,Fiji,New Zealand (Aotearoa),0-1,0-0
1998-FRANCE,1997,Lagos.,PRELIMINARY-Africa,Nigeria,Kenya,3-0,2-0
1998-FRANCE,1997,Casablanca.,PRELIMINARY-Africa,Morocco (المغرب),Ghana,1-0,0-0
1998-FRANCE,1997,Baghdad.,PRELIMINARY-Asia,Iraq (العراق),Kazakhstan (Қазақстан),1-2,1-1
2002-KOREA/JAPAN,2001,Bandar Seri Begawan.,PRELIMINARY-Asia,Brunei (بروني),India (भारत),0-1,0-0
2002-KOREA/JAPAN,2001,Dakar.,PRELIMINARY-Africa,Senegal (Sénégal),Namibia,4-0,2-0
2002-KOREA/JAPAN,2001,Wellington.,PRELIMINARY-Oceania,New Zealand (Aotearoa),Australia,0-2,0-1
2002-KOREA/JAPAN,2001,Kinshasa.,PRELIMINARY-Africa,D.R. Congo (R.D. Congo),Ivory Coast (Côte d'Ivoire),1-2,0-2
2002-KOREA/JAPAN,2001,San_José.,PRELIMINARY-N/C.America,Costa Rica,Jamaica,2-1,2-1
2002-KOREA/JAPAN,2001,San_Pedro_Sula.,PRELIMINARY-N/C.America,Honduras,Mexico (México),3-1,1-0
2002-KOREA/JAPAN,2001,Amman.,PRELIMINARY-Asia,Turkmenistan (Türkmenistan),Taiwan (台湾),1-0,1-0
2002-KOREA/JAPAN,2001,Accra.,PRELIMINARY-Africa,Ghana,Nigeria,0-0,0-0
2002-KOREA/JAPAN,2001,Aleppo.,PRELIMINARY-Asia,Laos (ນລາວ),Syria (سوريا),0-9,0-3
2002-KOREA/JAPAN,2001,Muscat.,PRELIMINARY-Asia,Philippines (Pilipinas),Oman (عمان),0-2,0-1
2002-KOREA/JAPAN,2001,Sanaa.,PRELIMINARY-Asia,Yemen (اليمن),United Arab Emirates (الإمارات العربية المتحدة),2-1,0-1
2002-KOREA/JAPAN,2001,Lomé.,PRELIMINARY-Africa,Togo,Angola,1-1,0-0
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Qatar (قطر),Hong Kong (香港),2-0,1-0
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Palestine (فلسطين),Malaysia (مليسيا),1-0,1-0
2002-KOREA/JAPAN,2001,Beirut.,PRELIMINARY-Asia,Lebanon (لبنان),Pakistan (پاکستان),6-0,2-0
2002-KOREA/JAPAN,2001,Beirut.,PRELIMINARY-Asia,Thailand (ประเทศไทย),Sri Lanka (ශ්රී ලංකාව),4-2,1-1
2002-KOREA/JAPAN,2001,Amman.,PRELIMINARY-Asia,Jordan (الأردن),Uzbekistan (Ўзбекистон),1-1,0-0
2002-KOREA/JAPAN,2001,Sydney.,PRELIMINARY-Oceania,Australia,New Zealand (Aotearoa),4-1,2-1
2002-KOREA/JAPAN,2001,Windhoek.,PRELIMINARY-Africa,Namibia,Algeria (الجزائر),0-4,0-3
2002-KOREA/JAPAN,2001,Port_of_Spain.,PRELIMINARY-N/C.America,Trinidad and Tobago,Jamaica,1-2,1-1
2002-KOREA/JAPAN,2000,St._Georges.,PRELIMINARY-N/C.America,Grenada,Barbados,2-3,0-2
2002-KOREA/JAPAN,2000,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Dominica,4-0,0-0
2002-KOREA/JAPAN,2001,Rabat.,PRELIMINARY-Africa,Morocco (المغرب),Egypt (مصر),1-0,1-0
2002-KOREA/JAPAN,2001,Cairo.,PRELIMINARY-Africa,Egypt (مصر),Algeria (الجزائر),5-2,3-2
2002-KOREA/JAPAN,2001,Montevideo.,PRELIMINARY-S.America,Uruguay,Brazil (Brasil),1-0,1-0
2002-KOREA/JAPAN,2001,México D.F.,PRELIMINARY-N/C.America,Mexico (México),USA,1-0,1-0
2002-KOREA/JAPAN,2001,Tegucigalpa.,PRELIMINARY-N/C.America,Honduras,Costa Rica,2-3,2-2
2002-KOREA/JAPAN,2001,Luanda.,PRELIMINARY-Africa,Angola,Togo,1-1,1-1
2002-KOREA/JAPAN,2000,Oranjestad.,PRELIMINARY-N/C.America,Aruba,Puerto Rico,4-2,0-2
2002-KOREA/JAPAN,2001,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Costa Rica,1-2,1-0
2002-KOREA/JAPAN,2000,San_Salvador.,PRELIMINARY-N/C.America,El Salvador,Belize,5-0,2-0
2002-KOREA/JAPAN,2001,Albany.,PRELIMINARY-Oceania,Tahiti,Solomon Islands,2-0,1-0
2002-KOREA/JAPAN,2001,Albany.,PRELIMINARY-Oceania,New Zealand (Aotearoa),Vanuatu,7-0,5-0
2002-KOREA/JAPAN,2000,Abidjan.,PRELIMINARY-Africa,Ivory Coast (Côte d'Ivoire),Tunisia (تونس),2-2,1-2
2002-KOREA/JAPAN,2000,Omdurman.,PRELIMINARY-Africa,Sudan (السودان),Liberia,2-0,0-0
2002-KOREA/JAPAN,2000,San_Cristóbal.,PRELIMINARY-N/C.America,Dominican Republic (República Dominicana),Montserrat,3-0,3-0
2002-KOREA/JAPAN,2001,Kingston.,PRELIMINARY-N/C.America,Jamaica,USA,0-0,0-0
2002-KOREA/JAPAN,2001,Port_Harcourt.,PRELIMINARY-Africa,Nigeria,Ghana,3-0,3-0
2002-KOREA/JAPAN,2001,Omdurman.,PRELIMINARY-Africa,Sudan (السودان),Sierra Leone,3-0,2-0
2002-KOREA/JAPAN,2001,Antananarivo.,PRELIMINARY-Africa,Madagascar (Madagasikara),Congo,1-0,0-0
2002-KOREA/JAPAN,2001,Kaunas.,PRELIMINARY-Europe,Lithuania (Lietuva),Italy (Italia),0-0,0-0
2002-KOREA/JAPAN,2001,Freetown.,PRELIMINARY-Africa,Sierra Leone,Sudan (السودان),0-2,0-2
2002-KOREA/JAPAN,2001,Chingola.,PRELIMINARY-Africa,Zambia,Libya (ليبيا),2-0,2-0
2002-KOREA/JAPAN,2000,Blantyre.,PRELIMINARY-Africa,Malawi (Malaŵi),Burkina Faso,1-1,1-1
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Malaysia (مليسيا),Hong Kong (香港),2-0,0-0
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Palestine (فلسطين),Qatar (قطر),1-2,0-1
2002-KOREA/JAPAN,2001,Albany.,PRELIMINARY-Oceania,Cook Islands,Tahiti,0-6,0-3
2002-KOREA/JAPAN,2000,Guatemala.,PRELIMINARY-N/C.America,Guatemala,Antigua and Barbuda,8-1,4-0
2002-KOREA/JAPAN,2000,Luanda.,PRELIMINARY-Africa,Angola,Zambia,2-1,0-1
2002-KOREA/JAPAN,2000,Tripoli.,PRELIMINARY-Africa,Libya (ليبيا),Cameroon (Cameroun),0-3,0-1
2002-KOREA/JAPAN,2001,Porto_Alegre.,PRELIMINARY-S.America,Brazil (Brasil),Paraguay,2-0,1-0
2002-KOREA/JAPAN,2001,Quito.,PRELIMINARY-S.America,Ecuador,Argentina,0-2,0-2
2002-KOREA/JAPAN,2001,Tallinn.,PRELIMINARY-Europe,Estonia (Eesti),Cyprus (Κύπρος),2-2,0-1
2002-KOREA/JAPAN,2001,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Faroe Islands (Føroyar),2-0,1-0
2002-KOREA/JAPAN,2001,Santiago.,PRELIMINARY-S.America,Chile,Bolivia,2-2,1-1
2002-KOREA/JAPAN,2001,Maracaibo.,PRELIMINARY-S.America,Venezuela,Uruguay,2-0,0-0
2002-KOREA/JAPAN,2001,Abidjan.,PRELIMINARY-Africa,Ivory Coast (Côte d'Ivoire),D.R. Congo (R.D. Congo),1-2,0-1
2002-KOREA/JAPAN,2001,Tripoli.,PRELIMINARY-Africa,Libya (ليبيا),Angola,1-1,1-0
2002-KOREA/JAPAN,2001,Harare.,PRELIMINARY-Africa,Zimbabwe,Malawi (Malaŵi),2-0,1-0
2002-KOREA/JAPAN,2000,San_Pedro_Sula.,PRELIMINARY-N/C.America,Honduras,Haiti (Haïti),4-0,2-0
2002-KOREA/JAPAN,2001,Doha.,PRELIMINARY-Asia,Malaysia (مليسيا),Qatar (قطر),0-0,0-0
2002-KOREA/JAPAN,2001,Kunming.,PRELIMINARY-Asia,China (中国),Indonesia,5-1,0-1
2002-KOREA/JAPAN,2002,Oita.,1/8_FINAL,Sweden (Sverige),Senegal (Sénégal),1-2,1-1
2002-KOREA/JAPAN,2002,Suwon.,1/8_FINAL,Spain (España),Ireland (Éire),1-1,1-0
2002-KOREA/JAPAN,2002,Jeonju.,1/8_FINAL,Mexico (México),USA,0-2,0-1
2002-KOREA/JAPAN,2002,Kobe.,1/8_FINAL,Brazil (Brasil),Belgium (België),2-0,0-0
2002-KOREA/JAPAN,2002,Miyagi.,1/8_FINAL,Japan (日本),Turkey (Türkiye),0-1,0-1
2002-KOREA/JAPAN,2002,Daejeon.,1/8_FINAL,South Korea (한국),Italy (Italia),2-1,0-1
2002-KOREA/JAPAN,2000,The_Valley.,PRELIMINARY-N/C.America,Anguilla,Bahamas,1-3,0-3
2002-KOREA/JAPAN,2000,Conakry.,PRELIMINARY-Africa,Guinea (Guinée),Zimbabwe,3-0,1-0
2002-KOREA/JAPAN,2000,Road Town.,PRELIMINARY-N/C.America,British Virgin Islands,Bermuda,1-5,0-3
2002-KOREA/JAPAN,2000,Kingstown.,PRELIMINARY-N/C.America,Saint Vincent & The Grenadines,US Virgin Islands,9-0,5-0
2002-KOREA/JAPAN,2000,Castries.,PRELIMINARY-N/C.America,Saint Lucia,Surinam (Suriname),1-0,0-0
2002-KOREA/JAPAN,2000,Lagos.,PRELIMINARY-Africa,Nigeria,Sierra Leone,2-0,2-0
2002-KOREA/JAPAN,2000,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Honduras,1-3,0-1
2002-KOREA/JAPAN,2000,Annaba.,PRELIMINARY-Africa,Algeria (الجزائر),Senegal (Sénégal),1-1,1-1
2002-KOREA/JAPAN,2000,St._Johns.,PRELIMINARY-N/C.America,Antigua and Barbuda,Guatemala,0-1,0-1
2002-KOREA/JAPAN,2000,Winnipeg.,PRELIMINARY-N/C.America,Canada,Cuba,0-0,0-0
2002-KOREA/JAPAN,2000,La_Habana.,PRELIMINARY-N/C.America,Cuba,Canada,0-1,0-1
2002-KOREA/JAPAN,2000,Bogotá.,PRELIMINARY-S.America,Colombia,Venezuela,3-0,2-0
2002-KOREA/JAPAN,2000,Lima.,PRELIMINARY-S.America,Peru (Perú),Brazil (Brasil),0-1,0-1
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Hong Kong (香港),Palestine (فلسطين),1-1,0-0
2002-KOREA/JAPAN,2001,Hong Kong.,PRELIMINARY-Asia,Qatar (قطر),Malaysia (مليسيا),5-1,2-1
2002-KOREA/JAPAN,2001,San_José.,PRELIMINARY-N/C.America,Costa Rica,Honduras,2-2,0-1
2002-KOREA/JAPAN,2000,Port_of_Spain.,PRELIMINARY-N/C.America,Trinidad and Tobago,Dutch Antilles (Nederlandse Antillen),5-0,2-0
2002-KOREA/JAPAN,2000,San_Pedro_Sula.,PRELIMINARY-N/C.America,Honduras,Nicaragua,3-0,2-0
2002-KOREA/JAPAN,2000,Bridgetown.,PRELIMINARY-N/C.America,Barbados,Grenada,2-2,1-0
2002-KOREA/JAPAN,2000,La_Habana.,PRELIMINARY-N/C.America,Cuba,Cayman Islands,4-0,1-0
2002-KOREA/JAPAN,2000,Windhoek.,PRELIMINARY-Africa,Namibia,Morocco (المغرب),0-0,0-0
2002-KOREA/JAPAN,2001,Doha.,PRELIMINARY-Asia,Palestine (فلسطين),Hong Kong (香港),1-0,0-0
2002-KOREA/JAPAN,2001,Riyadh.,PRELIMINARY-Asia,Saudi Arabia (العربية السعودية),Bahrain (البحرين),1-1,0-1
2002-KOREA/JAPAN,2002,Niigata.,1/8_FINAL,Denmark (Danmark),England,0-3,0-3
2002-KOREA/JAPAN,2001,Doha.,PRELIMINARY-Asia,Qatar (قطر),Palestine (فلسطين),2-1,2-1
2002-KOREA/JAPAN,2001,Doha.,PRELIMINARY-Asia,Hong Kong (香港),Malaysia (مليسيا),2-1,1-0
2002-KOREA/JAPAN,2001,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),Faroe Islands (Føroyar),0-2,0-0
2002-KOREA/JAPAN,2000,Antananarivo.,PRELIMINARY-Africa,Madagascar (Madagasikara),D.R. Congo (R.D. Congo),3-0,1-0
2002-KOREA/JAPAN,2001,Albany.,PRELIMINARY-Oceania,Solomon Islands,New Zealand (Aotearoa),1-5,0-2
2002-KOREA/JAPAN,2000,Asunción.,PRELIMINARY-S.America,Paraguay,Ecuador,3-1,2-0
2002-KOREA/JAPAN,2000,Buenos Aires.,PRELIMINARY-S.America,Argentina,Bolivia,1-0,0-0
2002-KOREA/JAPAN,2001,Bogotá.,PRELIMINARY-S.America,Colombia,Peru (Perú),0-1,0-0
2002-KOREA/JAPAN,2001,Doha.,PRELIMINARY-Asia,Qatar (قطر),Oman (عمان),0-0,0-0
2002-KOREA/JAPAN,2001,Tashkent.,PRELIMINARY-Asia,Uzbekistan (Ўзбекистон),Qatar (قطر),2-1,1-0
2002-KOREA/JAPAN,2001,Shenyang.,PRELIMINARY-Asia,China (中国),United Arab Emirates (الإمارات العربية المتحدة),3-0,3-0
2002-KOREA/JAPAN,2001,Tehran.,PRELIMINARY-Asia,Iran (ایران),Saudi Arabia (العربية السعودية),2-0,0-0
2002-KOREA/JAPAN,2001,Manama.,PRELIMINARY-Asia,Bahrain (البحرين),Iraq (العراق),2-0,0-0
2002-KOREA/JAPAN,2001,Abu_Dhabi.,PRELIMINARY-Asia,United Arab Emirates (الإمارات العربية المتحدة),Uzbekistan (Ўзбекистон),4-1,3-1
2002-KOREA/JAPAN,2002,Miyagi.,GROUP_STAGE,Sweden (Sverige),Argentina,1-1,0-0
2002-KOREA/JAPAN,2002,Osaka.,GROUP_STAGE,Nigeria,England,0-0,0-0
2002-KOREA/JAPAN,2002,Daejeon.,GROUP_STAGE,South Africa (Suid-Afrika),Spain (España),2-3,1-2
2002-KOREA/JAPAN,2002,Seogwipo.,GROUP_STAGE,Slovenia (Slovenija),Paraguay,1-3,1-0
2002-KOREA/JAPAN,2002,Suwon.,GROUP_STAGE,Costa Rica,Brazil (Brasil),2-5,1-3
2002-KOREA/JAPAN,2002,Seoul.,GROUP_STAGE,Turkey (Türkiye),China (中国),3-0,2-0
2002-KOREA/JAPAN,2002,Yokohama.,GROUP_STAGE,Ecuador,Croatia (Hrvatska),1-0,0-0
2002-KOREA/JAPAN,2002,Oita.,GROUP_STAGE,Mexico (México),Italy (Italia),1-1,1-0
2002-KOREA/JAPAN,2002,Shizuoka.,GROUP_STAGE,Belgium (België),Russia (Россия),3-2,1-0
2002-KOREA/JAPAN,2002,Osaka.,GROUP_STAGE,Tunisia (تونس),Japan (日本),0-2,0-0
2002-KOREA/JAPAN,2002,Daejeon.,GROUP_STAGE,Poland (Polska),USA,3-1,2-0
2002-KOREA/JAPAN,2002,Incheon.,GROUP_STAGE,Portugal,South Korea (한국),0-1,0-0
2002-KOREA/JAPAN,2002,Seogwipo.,1/8_FINAL,Germany (Deutschland),Paraguay,1-0,0-0
2002-KOREA/JAPAN,2001,Baghdad.,PRELIMINARY-Asia,Iraq (العراق),Thailand (ประเทศไทย),4-0,1-0
2002-KOREA/JAPAN,2001,Beirut.,PRELIMINARY-Asia,Thailand (ประเทศไทย),Pakistan (پاکستان),3-0,1-0
2002-KOREA/JAPAN,2002,Ibaraki.,GROUP_STAGE,Germany (Deutschland),Ireland (Éire),1-1,1-0
2002-KOREA/JAPAN,2001,Beirut.,PRELIMINARY-Asia,Pakistan (پاکستان),Sri Lanka (ශ්රී ලංකාව),3-3,0-1
2002-KOREA/JAPAN,2001,Muscat.,PRELIMINARY-Asia,Laos (ນລາວ),Oman (عمان),0-7,0-5
2002-KOREA/JAPAN,2001,Aleppo.,PRELIMINARY-Asia,Philippines (Pilipinas),Syria (سوريا),1-5,0-1
2002-KOREA/JAPAN,2001,Amman.,PRELIMINARY-Asia,Turkmenistan (Türkmenistan),Uzbekistan (Ўзбекистон),2-5,2-2
2002-KOREA/JAPAN,2001,Antananarivo.,PRELIMINARY-Africa,Madagascar (Madagasikara),Ivory Coast (Côte d'Ivoire),1-3,0-1
2002-KOREA/JAPAN,2001,Pointe-Noire.,PRELIMINARY-Africa,Congo,Tunisia (تونس),1-2,1-1
2002-KOREA/JAPAN,2001,Conakry.,PRELIMINARY-Africa,Guinea (Guinée),Malawi (Malaŵi),1-1,1-0
2002-KOREA/JAPAN,2001,Singapore.,PRELIMINARY-Asia,Bahrain (البحرين),Kuwait (الكويت),1-2,0-0
2002-KOREA/JAPAN,2001,Singapore.,PRELIMINARY-Asia,Singapore (新加坡),Kyrgyzstan (Кыргызстан),0-1,0-0
2002-KOREA/JAPAN,2001,Singapore.,PRELIMINARY-Asia,Bahrain (البحرين),Kyrgyzstan (Кыргызстан),1-0,0-0
2002-KOREA/JAPAN,2001,Singapore.,PRELIMINARY-Asia,Kuwait (الكويت),Singapore (新加坡),1-1,0-0
